"Respondent_ID","Age","Gender","Favorite_Pony","Fan_Segment","Annual_Spend_USD","Country"
"RESP_0173",31,"Female","Fluttershy","Child/Parent Collection",67.51,"Canada"
"RESP_0636",8,"Other","Twilight Sparkle","Child/Parent Collection",79.74,"Australia"
"RESP_0018",11,"Other","Pinkie Pie","Casual Fan",5.17,"United Kingdom"
"RESP_0531",38,"Other","Spike","Casual Fan",6.77,"Germany"
"RESP_0756",28,"Other","Princess Luna","Brony",205.679818181818,"Australia"
"RESP_0147",12,"Male","Applejack","Child/Parent Collection",174.23,"United Kingdom"
"RESP_0201",41,"Male","Rarity","Child/Parent Collection",86.4,"Other"
"RESP_0253",17,"Other","Big McIntosh","General Public",20.54,"Japan"
"RESP_0119",14,"Other","Pinkie Pie","Casual Fan",24.6,"United States of America"
"RESP_1082",6,"Female","Sunset Shimmer","General Public",17.07,"Germany"
"RESP_1096",31,"Male","Spike","Child/Parent Collection",61.38,"Canada"
"RESP_0518",17,"Male","Applejack","Casual Fan",10.29,"Canada"
"RESP_0876",18,"Other","Twilight Sparkle","General Public",47.43,"Germany"
"RESP_0703",21,"Other","Princess Luna","Brony",187.26,"United Kingdom"
"RESP_0557",27,"Other","Rainbow Dash","Casual Fan",65.11,"United Kingdom"
"RESP_0755",38,"Male","Pinkie Pie","Child/Parent Collection",66.79,"United Kingdom"
"RESP_1453",24,"Other","Princess Luna","Brony",114.43,"United States of America"
"RESP_0250",16,"Other","Trixie Lulamoon","General Public",45.4,"Germany"
"RESP_1204",23,"Other","Applejack","General Public",8.67,"Australia"
"RESP_0761",16,"Male","Applejack","Casual Fan",14.2,"United States of America"
"RESP_1117",17,"Female","Spike","Casual Fan",10.9,"Canada"
"RESP_0168",23,"Female","Rarity","Brony",305.1,"United States of America"
"RESP_1380",11,"Other","Fluttershy","Child/Parent Collection",145.02,"United States of America"
"RESP_1153",22,"Female","Starlight Glimmer","Brony",68.07,"United Kingdom"
"RESP_0758",43,"Other","Princess Celestia","Child/Parent Collection",292.05,"United States of America"
"RESP_0675",7,"Male","Princess Luna","Child/Parent Collection",94.330547112462,"United Kingdom"
"RESP_0880",25,"Other","Pinkie Pie","Brony",39.95,"United Kingdom"
"RESP_0736",29,"Male","Trixie Lulamoon","Brony",173.95,"United Kingdom"
"RESP_1222",13,"Male","Starlight Glimmer","Brony",138.76,"Germany"
"RESP_1431",27,"Female","Discord","Brony",130.45,"United Kingdom"
"RESP_0669",43,"Female","Rainbow Dash","Child/Parent Collection",89.12,"Canada"
"RESP_0739",16,"Male","Spike","General Public",16.9,"United States of America"
"RESP_1138",24,"Female","Rainbow Dash","Casual Fan",46.09,"United States of America"
"RESP_0014",5,"Male","Trixie Lulamoon","Child/Parent Collection",33.86,"Germany"
"RESP_0109",16,"Other","Sunset Shimmer","General Public",54.97,"Other"
"RESP_0375",6,"Male","Derpy Hooves","Child/Parent Collection",113.61,"United Kingdom"
"RESP_1261",19,"Female","Princess Luna","Brony",403.91,"Japan"
"RESP_0279",14,"Other","Derpy Hooves","Brony",96.45,"Germany"
"RESP_1301",21,"Other","Rainbow Dash","General Public",10.43,"United Kingdom"
"RESP_0035",27,"Other","Trixie Lulamoon","General Public",31.92,"Japan"
"RESP_0857",20,"Female","Pinkie Pie","Casual Fan",23.39,"Australia"
"RESP_0099",24,"Female","Discord","Casual Fan",45.79,"United States of America"
"RESP_1479",10,"Other","Applejack","Casual Fan",35.68,"United States of America"
"RESP_0666",26,"Female","Starlight Glimmer","General Public",6.94,"Germany"
"RESP_1064",43,"Other","Derpy Hooves","Child/Parent Collection",194.2,"United Kingdom"
"RESP_0922",18,"Other","Derpy Hooves","Casual Fan",28.23,"United States of America"
"RESP_1420",20,"Other","Pinkie Pie","Casual Fan",22.2,"United Kingdom"
"RESP_0961",38,"Other","Spike","Casual Fan",44.2,"Japan"
"RESP_0702",15,"Other","Derpy Hooves","Brony",260.35,"Japan"
"RESP_0187",15,"Male","Trixie Lulamoon","General Public",16.07,"Japan"
"RESP_0451",32,"Other","Applejack","General Public",14.56,"Germany"
"RESP_1254",17,"Other","Twilight Sparkle","Casual Fan",9.47,"Canada"
"RESP_0025",22,"Female","Princess Celestia","General Public",49.05,"Canada"
"RESP_0111",20,"Female","Big McIntosh","General Public",27.26,"Germany"
"RESP_0709",28,"Female","Twilight Sparkle","Casual Fan",29.4868361581921,"United Kingdom"
"RESP_1103",11,"Female","Fluttershy","Child/Parent Collection",214.24,"Australia"
"RESP_0757",16,"Female","Princess Luna","Casual Fan",7.54,"Japan"
"RESP_0260",22,"Other","Derpy Hooves","Brony",200.39,"Canada"
"RESP_0148",6,"Male","Applejack","Child/Parent Collection",136.8,"United States of America"
"RESP_1401",25,"Female","Spike","Brony",364.9,"Canada"
"RESP_0884",28,"Other","Sunset Shimmer","Brony",146.4,"Other"
"RESP_1370",17,"Male","Fluttershy","Brony",249.38,"Canada"
"RESP_0871",25,"Female","Rarity","General Public",5.56,"Germany"
"RESP_0929",14,"Male","Derpy Hooves","General Public",74.55,"United States of America"
"RESP_0769",29,"Male","Rarity","Casual Fan",21.25,"Australia"
"RESP_0186",12,"Other","Princess Celestia","Child/Parent Collection",129.38,"Canada"
"RESP_0276",14,"Other","Princess Celestia","Brony",384.44,"Germany"
"RESP_0670",25,"Male","Starlight Glimmer","General Public",53.23,"United Kingdom"
"RESP_0902",25,"Other","Pinkie Pie","Casual Fan",15.67,"Japan"
"RESP_0100",17,"Male","Pinkie Pie","General Public",19.34,"Japan"
"RESP_0005",21,"Other","Rarity","Casual Fan",3.24,"Japan"
"RESP_1392",29,"Male","Applejack","Casual Fan",39.8,"Japan"
"RESP_0047",11,"Other","Spike","Child/Parent Collection",78.31,"United States of America"
"RESP_0565",29,"Other","Trixie Lulamoon","General Public",22.38,"United Kingdom"
"RESP_0934",5,"Other","Trixie Lulamoon","Child/Parent Collection",89.45,"United Kingdom"
"RESP_0194",17,"Male","Starlight Glimmer","Brony",135.64,"United Kingdom"
"RESP_0466",18,"Other","Princess Celestia","General Public",22.04,"Germany"
"RESP_0701",18,"Other","Pinkie Pie","Casual Fan",2.53,"United States of America"
"RESP_0511",24,"Male","Princess Celestia","General Public",21.76,"Germany"
"RESP_0190",27,"Other","Princess Celestia","Brony",113.65,"Japan"
"RESP_1354",19,"Male","Fluttershy","Casual Fan",11.34,"Australia"
"RESP_0027",26,"Male","Fluttershy","Casual Fan",61.53,"United Kingdom"
"RESP_0881",21,"Other","Spike","Casual Fan",16.83,"Canada"
"RESP_0778",4,"Female","Princess Luna","Child/Parent Collection",94.330547112462,"United States of America"
"RESP_1017",23,"Other","Rarity","General Public",65.12,"Canada"
"RESP_1200",26,"Male","Rarity","General Public",67.03,"United Kingdom"
"RESP_0455",19,"Female","Applejack","Brony",43.28,"Japan"
"RESP_1338",16,"Other","Sunset Shimmer","Brony",212.5,"Germany"
"RESP_0801",16,"Female","Big McIntosh","Brony",124.45,"United Kingdom"
"RESP_0288",25,"Male","Derpy Hooves","Casual Fan",30.29,"United Kingdom"
"RESP_1070",34,"Other","Discord","Child/Parent Collection",87.63,"United Kingdom"
"RESP_1115",23,"Other","Trixie Lulamoon","General Public",14.58,"Canada"
"RESP_1316",19,"Female","Spike","Casual Fan",13.03,"United Kingdom"
"RESP_0341",27,"Other","Applejack","General Public",10.74,"United States of America"
"RESP_0114",24,"Male","Applejack","General Public",16.71,"Germany"
"RESP_0229",8,"Male","Discord","General Public",54.33,"Germany"
"RESP_0312",11,"Male","Applejack","Casual Fan",51.44,"Japan"
"RESP_1383",4,"Other","Rarity","Child/Parent Collection",127.71,"United States of America"
"RESP_0499",5,"Male","Discord","Child/Parent Collection",56.59,"Japan"
"RESP_0573",5,"Other","Big McIntosh","Casual Fan",31.92,"Germany"
"RESP_1437",7,"Other","Princess Celestia","General Public",76.34,"Canada"
"RESP_0325",30,"Other","Applejack","Brony",120.96,"United Kingdom"
"RESP_0790",20,"Male","Rarity","General Public",49.91,"United States of America"
"RESP_0996",21,"Female","Pinkie Pie","Brony",126.42,"Australia"
"RESP_1250",26,"Other","Spike","Brony",94.46,"United States of America"
"RESP_1071",26,"Other","Spike","Casual Fan",17.02,"Canada"
"RESP_1028",27,"Other","Pinkie Pie","Brony",173.45,"United Kingdom"
"RESP_0379",26,"Other","Princess Luna","General Public",14.37,"Canada"
"RESP_0949",14,"Male","Princess Luna","Brony",188.04,"Japan"
"RESP_0759",7,"Other","Princess Celestia","Casual Fan",30.51,"United Kingdom"
"RESP_0415",38,"Female","Derpy Hooves","Child/Parent Collection",99.77,"Germany"
"RESP_0165",33,"Other","Princess Celestia","Child/Parent Collection",25.92,"Germany"
"RESP_1050",9,"Male","Rainbow Dash","General Public",60.78,"United States of America"
"RESP_1318",30,"Female","Princess Luna","Brony",182.73,"Australia"
"RESP_0208",36,"Other","Trixie Lulamoon","General Public",71.31,"Canada"
"RESP_0285",7,"Female","Sunset Shimmer","Child/Parent Collection",32.02,"United States of America"
"RESP_0699",33,"Other","Rainbow Dash","Casual Fan",23.01,"United States of America"
"RESP_0295",9,"Female","Trixie Lulamoon","General Public",37.84,"United Kingdom"
"RESP_0610",19,"Other","Starlight Glimmer","Casual Fan",21.26,"United States of America"
"RESP_0021",21,"Male","Spike","Casual Fan",14.05,"Germany"
"RESP_1011",15,"Male","Spike","General Public",1.99,"United States of America"
"RESP_0766",33,"Female","Big McIntosh","Child/Parent Collection",10.37,"United States of America"
"RESP_0427",25,"Other","Discord","Casual Fan",23.47,"United States of America"
"RESP_0411",14,"Other","Sunset Shimmer","General Public",31.81,"Australia"
"RESP_0863",9,"Other","Sunset Shimmer","Child/Parent Collection",113.42,"United States of America"
"RESP_1276",14,"Other","Discord","General Public",19.83,"Japan"
"RESP_0937",10,"Male","Princess Celestia","General Public",5.22,"Australia"
"RESP_0351",32,"Other","Sunset Shimmer","Child/Parent Collection",106.78,"United Kingdom"
"RESP_1267",13,"Other","Discord","Brony",254.85,"Canada"
"RESP_1035",5,"Female","Twilight Sparkle","Child/Parent Collection",119.5,"Japan"
"RESP_0741",25,"Male","Twilight Sparkle","Brony",179.13,"Japan"
"RESP_1446",22,"Other","Rainbow Dash","Casual Fan",28.4,"United Kingdom"
"RESP_0331",30,"Male","Derpy Hooves","Child/Parent Collection",106.63,"Germany"
"RESP_1057",24,"Male","Sunset Shimmer","Brony",57.65,"United States of America"
"RESP_0621",18,"Other","Derpy Hooves","Brony",289.12,"United States of America"
"RESP_0129",17,"Other","Big McIntosh","Brony",245.96,"United States of America"
"RESP_0493",29,"Male","Rarity","Casual Fan",41.02,"Other"
"RESP_0408",15,"Other","Big McIntosh","General Public",65.88,"United States of America"
"RESP_0907",19,"Male","Rainbow Dash","General Public",23.85,"Canada"
"RESP_0919",9,"Female","Rarity","General Public",56.77,"United States of America"
"RESP_1496",31,"Other","Spike","Brony",354.56,"United States of America"
"RESP_1335",4,"Male","Fluttershy","Child/Parent Collection",119.13,"Germany"
"RESP_0152",11,"Other","Trixie Lulamoon","Child/Parent Collection",54.08,"United States of America"
"RESP_0326",26,"Other","Rainbow Dash","Casual Fan",6.96,"Canada"
"RESP_0743",44,"Female","Princess Luna","Child/Parent Collection",63.84,"United States of America"
"RESP_1048",5,"Female","Big McIntosh","Child/Parent Collection",155.49,"United Kingdom"
"RESP_1023",30,"Female","Pinkie Pie","Brony",203.63,"United States of America"
"RESP_0965",7,"Other","Princess Luna","Child/Parent Collection",109.38,"Australia"
"RESP_0327",12,"Other","Rainbow Dash","Casual Fan",3.14,"United States of America"
"RESP_1385",36,"Male","Trixie Lulamoon","General Public",60.66,"Australia"
"RESP_1336",10,"Other","Discord","Casual Fan",8.07,"United States of America"
"RESP_0352",21,"Male","Big McIntosh","Brony",186.96,"Japan"
"RESP_1483",11,"Other","Derpy Hooves","General Public",28.5892441860465,"Japan"
"RESP_0587",34,"Other","Discord","Child/Parent Collection",159.16,"United States of America"
"RESP_0688",20,"Male","Princess Celestia","Casual Fan",54.92,"United States of America"
"RESP_0472",29,"Other","Starlight Glimmer","Brony",221.85,"United States of America"
"RESP_1158",14,"Other","Trixie Lulamoon","Brony",115.39,"United Kingdom"
"RESP_1090",22,"Other","Pinkie Pie","Casual Fan",8.54,"United States of America"
"RESP_0347",26,"Other","Fluttershy","Casual Fan",36.17,"United States of America"
"RESP_0742",21,"Other","Princess Celestia","Brony",70.16,"United Kingdom"
"RESP_0056",17,"Other","Rainbow Dash","Casual Fan",18.71,"United Kingdom"
"RESP_0329",21,"Female","Big McIntosh","Brony",465.83,"Japan"
"RESP_0413",18,"Other","Spike","Casual Fan",51.73,"Canada"
"RESP_0649",22,"Female","Rarity","Casual Fan",24.14,"United Kingdom"
"RESP_0364",35,"Male","Spike","Casual Fan",7.95,"Australia"
"RESP_0359",8,"Other","Princess Celestia","Child/Parent Collection",144.97,"Japan"
"RESP_0077",18,"Female","Big McIntosh","General Public",41.53,"Japan"
"RESP_0171",27,"Other","Fluttershy","Brony",293.87,"Germany"
"RESP_1382",4,"Other","Fluttershy","Child/Parent Collection",87.28,"United States of America"
"RESP_0695",29,"Female","Starlight Glimmer","Brony",112.02,"Japan"
"RESP_0265",9,"Male","Derpy Hooves","Child/Parent Collection",64.36,"Germany"
"RESP_0888",25,"Female","Applejack","General Public",8.7,"Other"
"RESP_0298",15,"Other","Sunset Shimmer","General Public",27.44,"United Kingdom"
"RESP_0684",41,"Female","Fluttershy","Child/Parent Collection",136.17,"Canada"
"RESP_0505",33,"Male","Big McIntosh","Child/Parent Collection",43.85,"United States of America"
"RESP_0485",19,"Female","Sunset Shimmer","Casual Fan",12.44,"United States of America"
"RESP_1461",11,"Other","Twilight Sparkle","General Public",35.11,"United States of America"
"RESP_0730",24,"Male","Applejack","Brony",69.46,"Germany"
"RESP_0783",25,"Other","Twilight Sparkle","Casual Fan",47.91,"United Kingdom"
"RESP_0873",4,"Female","Pinkie Pie","Child/Parent Collection",118.55,"Canada"
"RESP_1081",16,"Male","Fluttershy","Casual Fan",29.4868361581921,"United States of America"
"RESP_0214",22,"Other","Spike","Brony",153.63,"Japan"
"RESP_1358",15,"Other","Rainbow Dash","Casual Fan",15.73,"United States of America"
"RESP_1283",19,"Female","Princess Luna","General Public",52.39,"United States of America"
"RESP_0899",38,"Female","Big McIntosh","Brony",296.63,"Germany"
"RESP_0355",9,"Male","Sunset Shimmer","Child/Parent Collection",30.41,"Australia"
"RESP_0716",7,"Male","Spike","Child/Parent Collection",83.82,"United States of America"
"RESP_0200",32,"Female","Fluttershy","Brony",189.07,"United States of America"
"RESP_0852",16,"Other","Spike","Casual Fan",38.22,"United Kingdom"
"RESP_1302",7,"Other","Rainbow Dash","Child/Parent Collection",54.29,"United States of America"
"RESP_0371",9,"Male","Spike","Casual Fan",64.68,"United Kingdom"
"RESP_1065",35,"Other","Spike","Casual Fan",16.06,"Canada"
"RESP_0349",11,"Other","Fluttershy","Child/Parent Collection",94.330547112462,"Japan"
"RESP_0217",3,"Male","Pinkie Pie","Casual Fan",12.53,"Australia"
"RESP_0674",30,"Female","Spike","Child/Parent Collection",56.54,"Japan"
"RESP_0254",17,"Other","Princess Celestia","General Public",44.04,"United States of America"
"RESP_0153",19,"Male","Pinkie Pie","Brony",199.97,"Canada"
"RESP_0195",31,"Other","Spike","Brony",205.679818181818,"Canada"
"RESP_1029",10,"Male","Starlight Glimmer","Child/Parent Collection",43.26,"Japan"
"RESP_1251",24,"Male","Trixie Lulamoon","Brony",113.66,"Germany"
"RESP_1366",11,"Other","Princess Luna","General Public",8.4,"Australia"
"RESP_0069",44,"Female","Rainbow Dash","Child/Parent Collection",135.49,"United States of America"
"RESP_0131",5,"Other","Big McIntosh","Child/Parent Collection",79.57,"Japan"
"RESP_1016",43,"Other","Rarity","Child/Parent Collection",117.41,"United Kingdom"
"RESP_1241",31,"Male","Derpy Hooves","Child/Parent Collection",91.39,"United States of America"
"RESP_0301",31,"Other","Applejack","Brony",81.81,"Canada"
"RESP_0678",4,"Male","Big McIntosh","Child/Parent Collection",96.56,"Japan"
"RESP_1287",25,"Other","Trixie Lulamoon","Brony",505.87,"United States of America"
"RESP_1486",12,"Male","Fluttershy","Child/Parent Collection",50.02,"Japan"
"RESP_0384",34,"Female","Fluttershy","Child/Parent Collection",77.69,"United Kingdom"
"RESP_1388",19,"Other","Fluttershy","Brony",81.56,"Australia"
"RESP_0241",7,"Male","Applejack","Child/Parent Collection",116.53,"United States of America"
"RESP_0598",25,"Other","Princess Celestia","Brony",313.3,"United Kingdom"
"RESP_1078",34,"Male","Pinkie Pie","Child/Parent Collection",70.76,"United States of America"
"RESP_0188",42,"Other","Big McIntosh","Child/Parent Collection",54.98,"United Kingdom"
"RESP_0805",44,"Other","Fluttershy","Child/Parent Collection",171.9,"Australia"
"RESP_1213",13,"Female","Princess Luna","Brony",325.32,"Germany"
"RESP_1073",22,"Other","Spike","Brony",105.02,"Japan"
"RESP_1089",18,"Other","Twilight Sparkle","Casual Fan",18.66,"United Kingdom"
"RESP_0303",8,"Female","Applejack","Child/Parent Collection",137.73,"Germany"
"RESP_0284",23,"Other","Big McIntosh","Brony",171.22,"Canada"
"RESP_0532",21,"Other","Derpy Hooves","Brony",205.679818181818,"Japan"
"RESP_0643",28,"Other","Rainbow Dash","Casual Fan",20.2,"United States of America"
"RESP_1134",16,"Female","Pinkie Pie","Brony",194.71,"United Kingdom"
"RESP_0541",40,"Male","Sunset Shimmer","Child/Parent Collection",150.03,"Japan"
"RESP_0572",28,"Female","Spike","General Public",37.63,"United Kingdom"
"RESP_0110",20,"Female","Rarity","General Public",21.28,"Germany"
"RESP_1490",17,"Other","Princess Luna","Casual Fan",43.94,"United Kingdom"
"RESP_0123",20,"Female","Spike","Brony",323.72,"United States of America"
"RESP_0464",7,"Male","Starlight Glimmer","Child/Parent Collection",179.5,"Canada"
"RESP_0281",27,"Female","Fluttershy","General Public",24.41,"United Kingdom"
"RESP_0714",12,"Other","Pinkie Pie","General Public",11.44,"Japan"
"RESP_0424",9,"Female","Princess Luna","Child/Parent Collection",102.97,"United Kingdom"
"RESP_0429",44,"Male","Big McIntosh","Child/Parent Collection",133.81,"Japan"
"RESP_0772",23,"Other","Princess Luna","Casual Fan",54.39,"United States of America"
"RESP_0594",14,"Other","Princess Luna","Casual Fan",26.75,"United States of America"
"RESP_0393",27,"Other","Pinkie Pie","Brony",247.11,"Canada"
"RESP_0475",4,"Female","Princess Celestia","Child/Parent Collection",33.23,"Japan"
"RESP_1471",32,"Female","Fluttershy","Child/Parent Collection",116.57,"United Kingdom"
"RESP_1110",15,"Male","Rarity","General Public",56.02,"United Kingdom"
"RESP_0588",20,"Female","Princess Luna","Brony",506.46,"Japan"
"RESP_1468",4,"Male","Big McIntosh","Child/Parent Collection",24.42,"Australia"
